Subject	B11	A06	B09	B12	B04	B01	B16	C09
DW.caries	low	low	high	high	low	low	high	high
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.10	0	0	0	0	0	0	0	434
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.11	0	0	0	0	0	0	0	86
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.12	0	0	0	0	0	0	0	222
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.13	0	0	0	0	0	0	0	113
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.14	0	0	0	0	0	0	0	212
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.15	0	0	0	0	0	0	0	905
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.14	0	0	0	0	0	0	0	159
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.16	0	0	0	0	0	0	0	2350
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.17	0	0	0	0	0	0	0	230
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.18	0	0	0	0	0	0	0	113
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.19	0	0	0	0	0	0	0	108
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.20	0	0	0	0	0	0	0	3581
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.21	0	0	0	0	0	0	0	102
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.15	0	0	0	0	0	0	0	109
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.16	0	0	0	0	0	0	0	118
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.22	0	0	0	0	0	0	0	38717
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Unclassified.23	0	0	0	0	0	0	0	60
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.17	0	0	0	0	0	0	0	135
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.18	0	0	0	0	0	0	0	92
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_zoogleoformans.19	0	0	0	0	0	0	0	86
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Tannerella|s_Unclassified	0	0	0	0	73	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Tannerella|s_forsythia	0	0	0	0	0	21	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Tannerella|s_Unclassified.1	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Tannerella|s_Unclassified.2	0	0	0	0	0	19	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Tannerella|s_Unclassified.3	69	25	29	0	78	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Porphyromonadaceae|g_Tannerella|s_Unclassified.4	0	0	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroidaceae_[G-1]|s_bacterium_HMT_272	0	0	0	0	0	17	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_buccae	0	0	0	0	11	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_buccae.1	0	7	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Unclassified	0	0	4	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_enoeca	0	30	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_marshii	0	2345	0	0	18	84	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_301	0	17	0	0	0	0	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_oulorum	5692	14	75	0	169	75	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_oulorum.1	0	0	0	0	0	18	0	0
p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_sp._HMT_309	0	0	0	0	177	0	0	0
